hetionet_gene_id	entrez_id	hetionet_name	current_hgnc_symbol	reason
Gene::101928793	101928793	LOC101928793		entrez_not_in_current_hgnc
Gene::101928841	101928841	LOC101928841		entrez_not_in_current_hgnc
Gene::101928868	101928868	LOC101928868		entrez_not_in_current_hgnc
Gene::101928870	101928870	LOC101928870		entrez_not_in_current_hgnc
Gene::101928892	101928892	LOC101928892		entrez_not_in_current_hgnc
Gene::101928947	101928947	LOC101928947		entrez_not_in_current_hgnc
Gene::101928948	101928948	LOC101928948		entrez_not_in_current_hgnc
Gene::101928998	101928998	LOC101928998		entrez_not_in_current_hgnc
Gene::101929060	101929060	LOC101929060		entrez_not_in_current_hgnc
Gene::101929087	101929087	LOC101929087		entrez_not_in_current_hgnc
Gene::101929097	101929097	LOC101929097		entrez_not_in_current_hgnc
Gene::101929141	101929141	LOC101929141		entrez_not_in_current_hgnc
Gene::101929185	101929185	LOC101929185		entrez_not_in_current_hgnc
Gene::101929206	101929206	LOC101929206		entrez_not_in_current_hgnc
Gene::101929211	101929211	LOC101929211		entrez_not_in_current_hgnc
Gene::101929256	101929256	LOC101929256		entrez_not_in_current_hgnc
Gene::101929301	101929301	LOC101929301		entrez_not_in_current_hgnc
Gene::101929304	101929304	LOC101929304		entrez_not_in_current_hgnc
Gene::101929322	101929322	LOC101929322		entrez_not_in_current_hgnc
Gene::101929372	101929372	LOC101929372		entrez_not_in_current_hgnc
Gene::101929373	101929373	LOC101929373		entrez_not_in_current_hgnc
Gene::101929400	101929400	LOC101929400		entrez_not_in_current_hgnc
Gene::101929479	101929479	LOC101929479		entrez_not_in_current_hgnc
Gene::101929490	101929490	LOC101929490		entrez_not_in_current_hgnc
Gene::101929519	101929519	LOC101929519		entrez_not_in_current_hgnc
Gene::101929536	101929536	LOC101929536		entrez_not_in_current_hgnc
Gene::101929552	101929552	LOC101929552		entrez_not_in_current_hgnc
Gene::101929583	101929583	LOC101929583		entrez_not_in_current_hgnc
Gene::101929599	101929599	LOC101929599		entrez_not_in_current_hgnc
Gene::101929601	101929601	LOC101929601		entrez_not_in_current_hgnc
Gene::101929605	101929605	LOC101929605		entrez_not_in_current_hgnc
Gene::101929627	101929627	LOC101929627		entrez_not_in_current_hgnc
Gene::101929692	101929692	LOC101929692		entrez_not_in_current_hgnc
Gene::101929728	101929728	LOC101929728		entrez_not_in_current_hgnc
Gene::101929747	101929747	LOC101929747		entrez_not_in_current_hgnc
Gene::101929748	101929748	LOC101929748		entrez_not_in_current_hgnc
Gene::101929766	101929766	LOC101929766		entrez_not_in_current_hgnc
Gene::101929773	101929773	LOC101929773		entrez_not_in_current_hgnc
Gene::101929805	101929805	LOC101929805		entrez_not_in_current_hgnc
Gene::101929806	101929806	LOC101929806		entrez_not_in_current_hgnc
Gene::101929818	101929818	LOC101929818		entrez_not_in_current_hgnc
Gene::101929839	101929839	LOC101929839		entrez_not_in_current_hgnc
Gene::101929870	101929870	LOC101929870		entrez_not_in_current_hgnc
Gene::101929876	101929876	LOC101929876		entrez_not_in_current_hgnc
Gene::101929895	101929895	LOC101929895		entrez_not_in_current_hgnc
Gene::101929924	101929924	LOC101929924		entrez_not_in_current_hgnc
Gene::101929927	101929927	LOC101929927		entrez_not_in_current_hgnc
Gene::101929941	101929941	LOC101929941		entrez_not_in_current_hgnc
Gene::101929950	101929950	LOC101929950		entrez_not_in_current_hgnc
Gene::101929970	101929970	LOC101929970		entrez_not_in_current_hgnc
Gene::101929991	101929991	LOC101929991		entrez_not_in_current_hgnc
Gene::101929998	101929998	LOC101929998		entrez_not_in_current_hgnc
Gene::101930006	101930006	LOC101930006		entrez_not_in_current_hgnc
Gene::101930013	101930013	LOC101930013		entrez_not_in_current_hgnc
Gene::101930027	101930027	LOC101930027		entrez_not_in_current_hgnc
Gene::101930032	101930032	LOC101930032		entrez_not_in_current_hgnc
Gene::101930047	101930047	LOC101930047		entrez_not_in_current_hgnc
Gene::101930049	101930049	LOC101930049		entrez_not_in_current_hgnc
