ensembl_id	gene_symbol	entrez_id	hetionet_gene_id	hetionet_gene_symbol	mapping_status
ENSG00000058668	ATP2B4	493	Gene::493	ATP2B4	mapped
ENSG00000143748	NVL	4931	Gene::4931	NVL	mapped
ENSG00000101850	GPR143	4935	Gene::4935	GPR143	mapped
ENSG00000183513	COA5	493753	Gene::493753	COA5	mapped
ENSG00000089127	OAS1	4938	Gene::4938	OAS1	mapped
ENSG00000177238	TRIM72	493829	Gene::493829	TRIM72	mapped
ENSG00000145354	CISD2	493856	Gene::493856	CISD2	mapped
ENSG00000186714	CCDC73	493860	Gene::493860	CCDC73	mapped
ENSG00000255150	EID3	493861	Gene::493861	EID3	mapped
ENSG00000164294	GPX8	493869	Gene::493869	GPX8	mapped
ENSG00000111335	OAS2	4939	Gene::4939	OAS2	mapped
ENSG00000258436	RNASE12	493901	Gene::493901	RNASE12	mapped
ENSG00000144362	PHOSPHO2	493911	Gene::493911	PHOSPHO2	mapped
ENSG00000111331	OAS3	4940	Gene::4940	OAS3	mapped
ENSG00000213516	RBMXL1	494115	Gene::494115	RBMXL1	mapped
ENSG00000203923	SPANXN1	494118	Gene::494118	SPANXN1	mapped
ENSG00000268988	SPANXN2	494119	Gene::494119	SPANXN2	mapped
ENSG00000143942	CHAC2	494143	Gene::494143	CHAC2	mapped
ENSG00000204952	FBXO47	494188	Gene::494188	FBXO47	mapped
ENSG00000204363	SPANXN5	494197	Gene::494197	SPANXN5	mapped
ENSG00000065154	OAT	4942	Gene::4942	OAT	mapped
ENSG00000068354	TBC1D25	4943	Gene::4943	TBC1D25	mapped
ENSG00000141622	ARK2C	494470	Gene::494470	RNF165	mapped
ENSG00000204311	PJVK	494513	Gene::494513	DFNB59	mapped
ENSG00000176912	TYMSOS	494514	Gene::494514	TYMSOS	mapped
ENSG00000214102	WEE2	494551	Gene::494551	WEE2	mapped
ENSG00000104904	OAZ1	4946	Gene::4946	OAZ1	mapped
ENSG00000180304	OAZ2	4947	Gene::4947	OAZ2	mapped
ENSG00000104044	OCA2	4948	Gene::4948	OCA2	mapped
ENSG00000105675	ATP4A	495	Gene::495	ATP4A	mapped
ENSG00000135175	OCM2	4951	Gene::4951	OCM2	mapped
ENSG00000122126	OCRL	4952	Gene::4952	OCRL	mapped
ENSG00000115758	ODC1	4953	Gene::4953	ODC1	mapped
ENSG00000155087	ODF1	4956	Gene::4956	ODF1	mapped
ENSG00000136811	ODF2	4957	Gene::4957	ODF2	mapped
ENSG00000127083	OMD	4958	Gene::4958	OMD	mapped
ENSG00000186009	ATP4B	496	Gene::496	ATP4B	mapped
ENSG00000105953	OGDH	4967	Gene::4967	OGDH	mapped
ENSG00000114026	OGG1	4968	Gene::4968	OGG1	mapped
ENSG00000106809	OGN	4969	Gene::4969	OGN	mapped
ENSG00000255833	TIFAB	497189	Gene::497189	TIFAB	mapped
