node_id	node_name	node_kind
Gene::8929	PHOX2B	Gene
Gene::56993	TOMM22	Gene
Pathway::PC7_6955	Reversible hydration of carbon dioxide	Pathway
Gene::5585	PKN1	Gene
Gene::23150	FRMD4B	Gene
Gene::796	CALCA	Gene
Gene::9662	CEP135	Gene
Gene::2244	FGB	Gene
Gene::688	KLF5	Gene
Gene::166614	DCLK2	Gene
Gene::875	CBS	Gene
Gene::7474	WNT5A	Gene
Gene::3176	HNMT	Gene
Pathway::PC7_8056	TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling	Pathway
Gene::377630	USP17L2	Gene
Gene::9762	LZTS3	Gene
Gene::9232	PTTG1	Gene
Gene::4958	OMD	Gene
Gene::5154	PDGFA	Gene
Gene::9531	BAG3	Gene
Gene::51157	ZNF580	Gene
Gene::80183	KIAA0226L	Gene
Gene::64838	FNDC4	Gene
Gene::339448	C1orf174	Gene
Gene::4688	NCF2	Gene
Gene::133015	PACRGL	Gene
Gene::374920	C19orf68	Gene
Gene::5546	PRCC	Gene
Gene::8284	KDM5D	Gene
Gene::783	CACNB2	Gene
Gene::10457	GPNMB	Gene
Gene::9920	KBTBD11	Gene
Gene::30845	EHD3	Gene
Gene::79973	ZNF442	Gene
Pathway::PC7_4102	Gap junction degradation	Pathway
Gene::56995	TULP4	Gene
Gene::83638	C11orf68	Gene
Gene::57584	ARHGAP21	Gene
Gene::292	SLC25A5	Gene
Gene::10396	ATP8A1	Gene
Gene::80274	SCUBE1	Gene
Gene::407738	FAM19A1	Gene
Pathway::PC7_6108	PCP/CE pathway	Pathway
Gene::79719	AAGAB	Gene
Gene::4670	HNRNPM	Gene
Gene::56996	SLC12A9	Gene
Gene::79874	RABEP2	Gene
Pathway::PC7_6880	Regulation of Complement cascade	Pathway
Gene::100131827	ZNF717	Gene
Gene::26509	MYOF	Gene
Gene::2842	GPR19	Gene
Pathway::PC7_1820	Astrocytic Glutamate-Glutamine Uptake And Metabolism	Pathway
Gene::84331	FAM195A	Gene
Gene::317	APAF1	Gene
Gene::4917	NTN3	Gene
Gene::78994	PRR14	Gene
Gene::8368	HIST1H4L	Gene
Gene::3308	HSPA4	Gene
Gene::51542	VPS54	Gene
Gene::394	ARHGAP5	Gene
Gene::117178	SSX2IP	Gene
Gene::66008	TRAK2	Gene
Gene::93624	TADA2B	Gene
Gene::7059	THBS3	Gene
Gene::1133	CHRM5	Gene
Gene::81490	PTDSS2	Gene
Gene::64783	RBM15	Gene
Gene::79158	GNPTAB	Gene
Gene::417	ART1	Gene
Gene::64641	EBF2	Gene
Gene::5803	PTPRZ1	Gene
Gene::266743	NPAS4	Gene
Gene::119559	SFXN4	Gene
Gene::1265	CNN2	Gene
Pathway::WP2525_r80205	Trans-sulfuration and one carbon metabolism	Pathway
Gene::6868	ADAM17	Gene
Pathway::PC7_7341	SOS-mediated signalling	Pathway
Gene::10623	POLR3C	Gene
Gene::54407	SLC38A2	Gene
Gene::56942	CMC2	Gene
Gene::145781	GCOM1	Gene
Gene::283659	PRTG	Gene
Gene::84970	C1orf94	Gene
Gene::148268	ZNF570	Gene
Gene::89869	PLCZ1	Gene
Gene::5739	PTGIR	Gene
Gene::10927	SPIN1	Gene
Gene::55617	TASP1	Gene
Gene::79083	MLPH	Gene
Gene::7542	ZFPL1	Gene
Gene::27037	TRMT2A	Gene
Gene::51560	RAB6B	Gene
Gene::159013	CXorf38	Gene
Gene::541578	CXorf40B	Gene
Gene::130872	AHSA2	Gene
Gene::56104	PCDHGB1	Gene
Gene::301	ANXA1	Gene
Gene::7746	ZSCAN9	Gene
Gene::22870	PPP6R1	Gene
Gene::2161	F12	Gene
Gene::129080	EMID1	Gene
Gene::51678	MPP6	Gene
Gene::81894	SLC25A28	Gene
Gene::8446	DUSP11	Gene
Gene::4115	MAGEB4	Gene
Gene::24148	PRPF6	Gene
Gene::135293	PM20D2	Gene
Gene::685	BTC	Gene
Gene::59269	HIVEP3	Gene
Gene::3090	HIC1	Gene
Gene::353323	KRTAP12-2	Gene
Gene::55276	PGM2	Gene
Gene::7372	UMPS	Gene
Gene::23271	CAMSAP2	Gene
Gene::3939	LDHA	Gene
Pathway::WP408_r78546	Oxidative Stress	Pathway
Pathway::WP516_r71358	Hypertrophy Model	Pathway
Gene::22	ABCB7	Gene
Gene::81608	FIP1L1	Gene
Gene::10054	UBA2	Gene
Gene::8233	ZRSR2	Gene
Gene::1760	DMPK	Gene
Gene::158787	RIBC1	Gene
Gene::5358	PLS3	Gene
Gene::59277	NTN4	Gene
Gene::389136	VGLL3	Gene
Pathway::PC7_7396	Scavenging of heme from plasma	Pathway
Pathway::PC7_4496	Hyaluronan biosynthesis and export	Pathway
Gene::5915	RARB	Gene
Gene::204851	HIPK1	Gene
Gene::1271	CNTFR	Gene
Gene::9695	EDEM1	Gene
Pathway::PC7_8054	TRAF6 Mediated Induction of proinflammatory cytokines	Pathway
Pathway::WP2064_r79263	Neural Crest Differentiation	Pathway
Gene::1604	CD55	Gene
Pathway::PC7_6461	Phospholipase C-mediated cascade	Pathway
Gene::23620	NTSR2	Gene
Gene::27440	CECR5	Gene
Gene::57616	TSHZ3	Gene
Disease::DOID:2394	ovarian cancer	Disease
Gene::117155	CATSPER2	Gene
Gene::9023	CH25H	Gene
Gene::55870	ASH1L	Gene
Gene::199953	TMEM201	Gene
Gene::23281	MTUS2	Gene
Gene::9317	PTER	Gene
Gene::54785	C17orf59	Gene
Gene::55090	MED9	Gene
Gene::79140	CCDC28B	Gene
Gene::284194	LGALS9B	Gene
Gene::2318	FLNC	Gene
Gene::56169	GSDMC	Gene
Gene::84705	GTPBP3	Gene
Gene::8737	RIPK1	Gene
Gene::752014	CEMP1	Gene
Gene::137695	TMEM68	Gene
Gene::8227	AKAP17A	Gene
Pathway::PC7_7747	Synthesis of PIPs at the ER membrane	Pathway
Gene::3013	HIST1H2AD	Gene
Gene::28956	LAMTOR2	Gene
Gene::7301	TYRO3	Gene
Gene::26472	PPP1R14B	Gene
Gene::51028	VPS36	Gene
Disease::DOID:5875	retroperitoneal cancer	Disease
Gene::64802	NMNAT1	Gene
Gene::56895	AGPAT4	Gene
Gene::777	CACNA1E	Gene
Gene::6880	TAF9	Gene
Gene::80755	AARSD1	Gene
Gene::11022	TDRKH	Gene
Gene::79188	TMEM43	Gene
Gene::9489	PGS1	Gene
Gene::51128	SAR1B	Gene
Gene::6133	RPL9	Gene
Gene::64895	PAPOLG	Gene
Pathway::PC7_2584	Circadian rhythm pathway	Pathway
Gene::53616	ADAM22	Gene
Gene::2665	GDI2	Gene
Gene::5081	PAX7	Gene
Gene::10980	COPS6	Gene
Pathway::PC7_1517	Activated TLR4 signalling	Pathway
Pathway::PC7_4728	Influenza Life Cycle	Pathway
Gene::22885	ABLIM3	Gene
Pathway::WP2857_r80151	Mesodermal Commitment Pathway	Pathway
Gene::3782	KCNN3	Gene
